sample,fastq_1,fastq_2,replicate,antibody,control,control_replicate
DMSO_INPUT,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543540_1.fastq.gz,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543540_2.fastq.gz,1,,DMSO_INPUT,
DMSO_INPUT,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543541_1.fastq.gz,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543541_2.fastq.gz,1,,DMSO_INPUT,
DMSO_INPUT,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543538_1.fastq.gz,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543538_2.fastq.gz,2,,DMSO_INPUT,
DMSO_INPUT,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543539_1.fastq.gz,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543539_2.fastq.gz,2,,DMSO_INPUT,
DMSO_INPUT,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543536_1.fastq.gz,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543536_2.fastq.gz,3,,DMSO_INPUT,
DMSO_INPUT,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543537_1.fastq.gz,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543537_2.fastq.gz,3,,DMSO_INPUT,
DMSO,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543534_1.fastq.gz,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543534_2.fastq.gz,1,H3K4me2,,1
DMSO,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543535_1.fastq.gz,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543535_2.fastq.gz,1,H3K4me2,,1
DMSO,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543531_1.fastq.gz,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543531_2.fastq.gz,2,H3K4me2,,2
DMSO,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543532_1.fastq.gz,/home/kai.hu-umw/pi/arthur.mercurio-umw/BingSun/042026_ChIPseq/data/fastq_from_sra/SRR31543532_2.fastq.gz,2,H3K4me2,,2
