sample,fastq_1,fastq_2,antibody,control
rb_cr115_lin_plus_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135116_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135116_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr115_lin_plus_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135117_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135117_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr115_lin_plus_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135118_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135118_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr115_lin_plus_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135119_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135119_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr115_lin_plus_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135120_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135120_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr115_lin_plus_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135121_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135121_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr115_lin_plus_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135122_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135122_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr115_lin_plus_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135123_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135123_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_low_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135124_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135124_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_low_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135125_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135125_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_low_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135126_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135126_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_low_rep1,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135127_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135127_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_low_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135128_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135128_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
rb_cr116_s0_cd71_low_rep2,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135129_1.fastq.gz,/home/kai.hu-umw/pi/merav.socolovsky-umw/data/feature_overlap/data_prep/cut_and_run_GSE171385/SRR14135129_2.fastq.gz,H3K27ac,rb_cr122_s3_rep1
